X,Y,pred,guess
[0.35 0.7 ],-1.0,0.0906,Ok
[1.2  0.55],1.0,0.702,Ok
[0.2 0.6],-1.0,-0.0091,Ok
[0.7 0.4],1.0,0.5971,Ok
[1.15 0.5 ],1.0,0.7125,Ok
[0.35 0.15],1.0,0.623,Ok
[0.55 0.95],-1.0,0.1636,Ok
[0.9 0.4],1.0,0.6904,Ok
[1.1 0.4],1.0,0.7482,Ok
[0.7 0.5],1.0,0.5176,Ok
[0.6  0.15],1.0,0.764,Ok
[0.75 0.3 ],1.0,0.7015,Ok
[0.85 0.45],1.0,0.6374,Ok
[0.  0.5],-1.0,-0.1,Ok
[0.35 0.7 ],-1.0,0.0906,Ok
[0.25 0.55],-1.0,0.0549,Ok
[0.15 0.8 ],-1.0,-0.0651,Ok
[0.25 0.7 ],-1.0,0.0075,Ok
[0.6 1.1],-1.0,0.1548,Ok
[0.05 0.45],-1.0,-0.0722,Ok
[0.35 0.75],-1.0,0.0747,Ok
[0.85 0.1 ],1.0,0.8431,Ok
[0.15 0.55],-1.0,-0.0365,Ok
[0.9 0.4],1.0,0.6904,Ok
[0.25 0.5 ],-1.0,0.0801,Ok
[0.5  0.85],-1.0,0.1601,Ok
[0.15 0.7 ],-1.0,-0.0603,Ok
[0.7 0.4],1.0,0.5971,Ok
[0.75 0.35],1.0,0.6634,Ok
[1.25 0.4 ],1.0,0.7775,Ok
[0.35 0.  ],1.0,0.8241,Ok
[0.6 0.2],1.0,0.7202,Ok
[0.6 0.3],1.0,0.6251,Ok
[0.95 0.1 ],1.0,0.8518,Ok
[1.05 0.6 ],1.0,0.6294,Ok
[0.45 0.75],-1.0,0.1576,Ok
[0.7 0.9],-1.0,0.2821,Ok
[1.   0.65],1.0,0.5819,Ok
[0.9  0.45],1.0,0.6587,Ok
[1.05 0.45],1.0,0.7101,Ok
[0.3 0.5],-1.0,0.1366,Ok
[0.8 0.5],1.0,0.578,Ok
[0.05 0.6 ],-1.0,-0.1001,Ok
[0.1  0.15],-1.0,0.3443,Ok
[0.35 0.8 ],-1.0,0.0615,Ok
[0.7 1.2],-1.0,0.1863,Ok
[0.4  0.75],-1.0,0.1158,Ok
[0.35 0.75],-1.0,0.0747,Ok
[0.05 0.5 ],-1.0,-0.0864,Ok
[0.55 0.95],-1.0,0.1636,Ok
[0.9 0.5],1.0,0.6269,Ok
[0.45 0.35],1.0,0.4487,Error
[0.4  0.75],-1.0,0.1158,Ok
[0.3  0.55],-1.0,0.107,Ok
[0.45 0.7 ],-1.0,0.1791,Ok
[1.35 0.6 ],1.0,0.7165,Ok
[0.25 0.7 ],-1.0,0.0075,Ok
[0.35 0.6 ],-1.0,0.1329,Ok
[0.4  0.65],-1.0,0.157,Ok
[1.3  0.55],1.0,0.726,Ok
[0.55 0.85],-1.0,0.1973,Ok
[0.55 0.7 ],-1.0,0.2654,Ok
[0.65 0.5 ],1.0,0.4824,Error
[0.3 0.2],1.0,0.489,Error
[0.7 0.3],1.0,0.6796,Ok
[0.85 0.7 ],1.0,0.478,Error
[0.45 1.05],-1.0,0.0777,Ok
[0.55 0.5 ],1.0,0.4007,Error
[0.75 1.  ],-1.0,0.2746,Ok
[0.6  0.25],1.0,0.6733,Ok
[0.4 0.9],-1.0,0.0746,Ok
[0.2 0.6],-1.0,-0.0091,Ok
[0.35 0.65],-1.0,0.1098,Ok
[0.95 0.45],1.0,0.6778,Ok
[0.4  0.25],1.0,0.5221,Ok
