X,Y,pred,guess
[0.35 0.7 ],-1.0,0.3379,Ok
[1.2  0.55],1.0,0.8837,Ok
[0.2 0.6],-1.0,0.2406,Ok
[0.7 0.4],1.0,0.8527,Ok
[1.15 0.5 ],1.0,0.8992,Ok
[0.35 0.15],1.0,0.8649,Ok
[0.55 0.95],-1.0,0.3649,Ok
[0.9 0.4],1.0,0.9093,Ok
[1.1 0.4],1.0,0.9375,Ok
[0.7 0.5],1.0,0.7721,Ok
[0.6  0.15],1.0,0.9883,Ok
[0.75 0.3 ],1.0,0.9383,Ok
[0.85 0.45],1.0,0.8665,Ok
[0.  0.5],-1.0,0.0753,Ok
[0.35 0.7 ],-1.0,0.3379,Ok
[0.25 0.55],-1.0,0.3274,Ok
[0.15 0.8 ],-1.0,0.1311,Ok
[0.25 0.7 ],-1.0,0.2436,Ok
[0.6 1.1],-1.0,0.3326,Ok
[0.05 0.45],-1.0,0.1326,Ok
[0.35 0.75],-1.0,0.3103,Ok
[0.85 0.1 ],1.0,1.0188,Ok
[0.15 0.55],-1.0,0.209,Ok
[0.9 0.4],1.0,0.9093,Ok
[0.25 0.5 ],-1.0,0.3644,Ok
[0.5  0.85],-1.0,0.3795,Ok
[0.15 0.7 ],-1.0,0.1551,Ok
[0.7 0.4],1.0,0.8527,Ok
[0.75 0.35],1.0,0.906,Ok
[1.25 0.4 ],1.0,0.9489,Ok
[0.35 0.  ],1.0,0.8864,Ok
[0.6 0.2],1.0,0.9638,Ok
[0.6 0.3],1.0,0.8931,Ok
[0.95 0.1 ],1.0,1.0178,Ok
[1.05 0.6 ],1.0,0.8286,Ok
[0.45 0.75],-1.0,0.397,Ok
[0.7 0.9],-1.0,0.488,Ok
[1.   0.65],1.0,0.7856,Ok
[0.9  0.45],1.0,0.8795,Ok
[1.05 0.45],1.0,0.9084,Ok
[0.3 0.5],-1.0,0.4282,Ok
[0.8 0.5],1.0,0.8155,Ok
[0.05 0.6 ],-1.0,0.0981,Ok
[0.1  0.15],-1.0,0.4174,Ok
[0.35 0.8 ],-1.0,0.2858,Ok
[0.7 1.2],-1.0,0.3507,Ok
[0.4  0.75],-1.0,0.3542,Ok
[0.35 0.75],-1.0,0.3103,Ok
[0.05 0.5 ],-1.0,0.1189,Ok
[0.55 0.95],-1.0,0.3649,Ok
[0.9 0.5],1.0,0.8483,Ok
[0.45 0.35],1.0,0.7519,Ok
[0.4  0.75],-1.0,0.3542,Ok
[0.3  0.55],-1.0,0.3868,Ok
[0.45 0.7 ],-1.0,0.4294,Ok
[1.35 0.6 ],1.0,0.8831,Ok
[0.25 0.7 ],-1.0,0.2436,Ok
[0.35 0.6 ],-1.0,0.4044,Ok
[0.4  0.65],-1.0,0.4183,Ok
[1.3  0.55],1.0,0.8971,Ok
[0.55 0.85],-1.0,0.4163,Ok
[0.55 0.7 ],-1.0,0.5124,Error
[0.65 0.5 ],1.0,0.7453,Ok
[0.3 0.2],1.0,0.7628,Ok
[0.7 0.3],1.0,0.9265,Ok
[0.85 0.7 ],1.0,0.6962,Ok
[0.45 1.05],-1.0,0.2598,Ok
[0.55 0.5 ],1.0,0.6795,Ok
[0.75 1.  ],-1.0,0.4643,Ok
[0.6  0.25],1.0,0.9315,Ok
[0.4 0.9],-1.0,0.2813,Ok
[0.2 0.6],-1.0,0.2406,Ok
[0.35 0.65],-1.0,0.3692,Ok
[0.95 0.45],1.0,0.8907,Ok
[0.4  0.25],1.0,0.8172,Ok
