X;Y;pred;guess
[0.35 0.7 ];-1;0.2184;Ok
[1.2  0.55];1;0.8145;Ok
[0.2 0.6];-1;0.1264;Ok
[0.7 0.4];1;0.7657;Ok
[1.15 0.5 ];1;0.8326;Ok
[0.35 0.15];1;0.7998;Ok
[0.55 0.95];-1;0.2551;Ok
[0.9 0.4];1;0.8399;Ok
[1.1 0.4];1;0.8802;Ok
[0.7 0.5];1;0.6717;Ok
[0.6  0.15];1;0.9512;Ok
[0.75 0.3 ];1;0.8747;Ok
[0.85 0.45];1;0.7862;Ok
[0.  0.5];-1;0.0221;Ok
[0.35 0.7 ];-1;0.2184;Ok
[0.25 0.55];-1;0.1986;Ok
[0.15 0.8 ];-1;0.0542;Ok
[0.25 0.7 ];-1;0.1345;Ok
[0.6 1.1];-1;0.2291;Ok
[0.05 0.45];-1;0.0422;Ok
[0.35 0.75];-1;0.1956;Ok
[0.85 0.1 ];1;1.0029;Ok
[0.15 0.55];-1;0.0983;Ok
[0.9 0.4];1;0.8399;Ok
[0.25 0.5 ];-1;0.2291;Ok
[0.5  0.85];-1;0.2653;Ok
[0.15 0.7 ];-1;0.0667;Ok
[0.7 0.4];1;0.7657;Ok
[0.75 0.35];1;0.8326;Ok
[1.25 0.4 ];1;0.8981;Ok
[0.35 0.  ];1;0.9018;Ok
[0.6 0.2];1;0.9115;Ok
[0.6 0.3];1;0.8139;Ok
[0.95 0.1 ];1;1.0031;Ok
[1.05 0.6 ];1;0.7462;Ok
[0.45 0.75];-1;0.2777;Ok
[0.7 0.9];-1;0.3759;Ok
[1.   0.65];1;0.6959;Ok
[0.9  0.45];1;0.8032;Ok
[1.05 0.45];1;0.842;Ok
[0.3 0.5];-1;0.2915;Ok
[0.8 0.5];1;0.7247;Ok
[0.05 0.6 ];-1;0.031;Ok
[0.1  0.15];-1;0.27;Ok
[0.35 0.8 ];-1;0.1759;Ok
[0.7 1.2];-1;0.2487;Ok
[0.4  0.75];-1;0.2364;Ok
[0.35 0.75];-1;0.1956;Ok
[0.05 0.5 ];-1;0.0374;Ok
[0.55 0.95];-1;0.2551;Ok
[0.9 0.5];1;0.7657;Ok
[0.45 0.35];1;0.639;Ok
[0.4  0.75];-1;0.2364;Ok
[0.3  0.55];-1;0.2548;Ok
[0.45 0.7 ];-1;0.3069;Ok
[1.35 0.6 ];1;0.8163;Ok
[0.25 0.7 ];-1;0.1345;Ok
[0.35 0.6 ];-1;0.2757;Ok
[0.4  0.65];-1;0.2928;Ok
[1.3  0.55];1;0.8326;Ok
[0.55 0.85];-1;0.3013;Ok
[0.55 0.7 ];-1;0.392;Ok
[0.65 0.5 ];1;0.6397;Ok
[0.3 0.2];1;0.6607;Ok
[0.7 0.3];1;0.8583;Ok
[0.85 0.7 ];1;0.5934;Ok
[0.45 1.05];-1;0.1616;Ok
[0.55 0.5 ];1;0.5629;Ok
[0.75 1.  ];-1;0.3551;Ok
[0.6  0.25];1;0.8649;Ok
[0.4 0.9];-1;0.1759;Ok
[0.2 0.6];-1;0.1264;Ok
[0.35 0.65];-1;0.2449;Ok
[0.95 0.45];1;0.818;Ok
[0.4  0.25];1;0.7196;Ok
